City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anna regina,7.2644,-58.5077,26.9,79,100,3.45,GY,1717952738
1,mir bachah kot,34.75,69.119,20.77,29,18,2.99,AF,1717952738
2,papatowai,-46.5619,169.4708,9.97,95,100,5.55,NZ,1717952739
3,utena,55.5,25.6,14.37,76,54,4.73,LT,1717952740
4,vradiyivka,47.862,30.5919,23.97,65,82,3.64,UA,1717952740
5,fryazino,55.9606,38.0456,21.77,62,94,0.45,RU,1717952741
6,goundam,16.4145,-3.6708,43.09,12,0,5.1,ML,1717952742
7,pisco,-13.7,-76.2167,17.03,94,100,3.09,PE,1717952646
8,albany,42.6001,-73.9662,17.6,86,89,0.45,US,1717952450
9,sitka,57.0531,-135.33,9.94,81,75,5.14,US,1717952744
10,longyearbyen,78.2186,15.6401,2.91,70,75,4.63,SJ,1717952744
11,port elizabeth,-33.918,25.5701,12.83,85,0,1.03,ZA,1717952732
12,wailua homesteads,22.0669,-159.378,23.44,87,100,6.17,US,1717952746
13,beytussebap,37.5694,43.1681,16.85,46,13,2.12,TR,1717952747
14,namibe,-15.1961,12.1522,20.86,80,2,2.98,AO,1717952748
15,codajas,-3.8367,-62.0569,28.61,83,37,1.32,BR,1717952552
16,aqsay,51.1678,52.995,21.05,68,15,3.55,KZ,1717952749
17,mumford,5.2618,-0.759,27.03,82,71,5.06,GH,1717952750
18,nantong,32.0303,120.8747,24.13,61,94,3.58,CN,1717952751
19,bel ombre,-4.6167,55.4167,27.91,78,20,3.6,SC,1717952751
20,georgetown,5.4112,100.3354,28.96,65,40,4.63,MY,1717951952
21,grytviken,-54.2811,-36.5092,-4.92,76,21,6.91,GS,1717952752
22,port mathurin,-19.6833,63.4167,24.3,82,64,7.99,MU,1717952753
23,porto belo,-27.1578,-48.5531,28.22,87,39,5.42,BR,1717952754
24,tolanaro,-25.0319,46.9987,17.04,94,75,1.54,MG,1717952755
25,san antonio de pale,-1.4014,5.6325,25.1,79,70,4.73,GQ,1717952756
26,susangerd,31.5608,48.1831,41.23,12,0,7.9,IR,1717952756
27,sechura,-5.5569,-80.8222,23.67,57,82,4.13,PE,1717952757
28,college,64.8569,-147.8028,20.65,46,100,2.57,US,1717952731
29,kirakira,-10.4544,161.9205,26.99,87,69,4.34,SB,1717952758
30,villa ojo de agua,-29.5,-63.6938,25.87,37,100,2.32,AR,1717952759
31,hasaki,35.7333,140.8333,19.22,75,100,5.47,JP,1717952760
32,tarapur,19.85,72.7,29.18,73,98,1.42,IN,1717952760
33,princeville,45.7668,-61.2985,20.9,75,75,5.14,CA,1717952528
34,lihue,21.9789,-159.3672,23.77,84,100,6.17,US,1717952762
35,gao,16.6362,1.637,43.11,11,10,1.65,ML,1717952467
36,sao joao do piaui,-8.3581,-42.2467,35.32,30,19,4.77,BR,1717952526
37,labuan,5.2767,115.2417,28.2,88,20,0.0,MY,1717952764
38,adamstown,-25.066,-130.1015,22.26,73,27,6.1,PN,1717952764
39,mont-laurier,46.5501,-75.4993,15.79,98,100,3.13,CA,1717952765
40,flying fish cove,-10.4217,105.6791,25.82,88,75,5.66,CX,1717952766
41,ta`u,-14.2336,-169.5144,25.94,67,99,7.71,AS,1717952766
42,yellowknife,62.456,-114.3525,12.45,69,75,4.63,CA,1717952487
43,codrington,-38.2667,141.9667,6.14,92,7,2.94,AU,1717952767
44,port alfred,-33.5906,26.891,16.28,65,0,2.55,ZA,1717952544
45,vikhorevka,56.1201,101.1636,14.77,98,100,2.95,RU,1717952769
46,port-aux-francais,-49.35,70.2167,6.72,98,100,17.72,TF,1717952769
47,thompson,55.7435,-97.8558,11.09,35,20,1.54,CA,1717952490
48,buta,2.7858,24.73,21.46,99,100,1.3,CD,1717952771
49,kota kinabalu,5.9749,116.0724,27.99,83,20,1.03,MY,1717952550
50,viedma,-40.8135,-62.9967,17.19,51,100,6.46,AR,1717952688
51,ushuaia,-54.8,-68.3,0.79,80,20,1.54,AR,1717952640
52,boende,-0.2167,20.8667,27.75,50,100,0.45,CD,1717952773
53,howard springs,-12.497,131.047,19.95,86,0,2.74,AU,1717952774
54,kodiak,57.79,-152.4072,7.73,93,100,10.29,US,1717952775
55,avarua,-21.2078,-159.775,21.03,60,40,1.54,CK,1717952775
56,tralee,52.2704,-9.7026,15.14,77,75,3.6,IE,1717952776
57,cadale,2.7603,46.3222,26.29,80,75,8.72,SO,1717952777
58,caleta de carquin,-11.0925,-77.6267,20.17,72,54,4.86,PE,1717952777
